date,amount,category,notes
2026-07-01,18500,dairy,"Regular morning milk and curd sales, steady traffic"
2026-07-02,19200,staples,"Atta, rice and dal bulk replenishment"
2026-07-03,17800,snacks,"Biscuits, chips and namkeen weekend stock"
2026-07-04,21000,beverages,"Cold drinks and juices afternoon rush"
2026-07-05,22500,general,"Sunday neighborhood grocery sales"
2026-07-06,16400,dairy,"Monday milk distribution"
2026-07-07,17100,staples,"Midweek staple supplies"
2026-07-08,18900,personal_care,"Soaps, detergents, toiletries restock"
2026-07-09,19500,snacks,"Evening snack rush from local offices"
2026-07-10,20100,beverages,"Packaged water and soft drinks"
2026-07-11,21500,general,"Saturday grocery shoppers"
2026-07-12,23000,dairy,"Sunday household essentials"
2026-07-13,16800,staples,"Bulk grain sales"
2026-07-14,17500,personal_care,"Household cleaning products"
2026-07-15,18200,snacks,"Packaged snacks and sweets"
2026-07-16,19000,beverages,"Tea and coffee powder restock"
2026-07-17,17900,dairy,"Morning milk distribution"
2026-07-18,20500,general,"Pre-monsoon dry goods shopping"
2026-07-19,21800,staples,"Weekend family grocery baskets"
2026-07-20,15200,general,"Heavy monsoon rain, footfall slightly lower"
2026-07-21,11800,discount,"Ran 20% discount promotion on all items. Gross revenue dropped 30% due to margin squeeze. Outcome: negative"
2026-07-22,12200,discount,"Discount continued, customers bought only discounted low-margin items. Outcome: negative"
2026-07-23,12500,discount,"Ended discount experiment early due to severe margin loss. Outcome: negative"
2026-07-24,17100,staples,"Returned to normal pricing, sales stabilizing"
2026-07-25,19800,snacks,"Weekend savory snacks sales"
2026-07-26,22000,dairy,"Sunday dairy and fresh bread"
2026-07-27,16900,beverages,"Weekly cold beverage restock"
2026-07-28,17400,personal_care,"Oral care and soaps"
2026-07-29,18100,staples,"Spices and cooking oils"
2026-07-30,19200,general,"End of month household replenishment"
2026-07-31,20800,general,"Payday shopping rush"
2026-08-01,22100,staples,"First of month grocery bulk orders"
2026-08-02,23400,dairy,"Sunday peak morning sales"
2026-08-03,17200,beverages,"Energy drinks and tea packs"
2026-08-04,18000,snacks,"School tiffin snack packs"
2026-08-05,18600,personal_care,"Shampoo and skin care"
2026-08-06,19300,staples,"Pulses and basmati rice"
2026-08-07,20400,general,"Friday evening grocery"
2026-08-08,22800,dairy,"Saturday morning essentials"
2026-08-09,24100,snacks,"Weekend party snacks and sodas"
2026-08-10,18500,general,"Tested opening early at 7:00 AM for railway commuters"
2026-08-11,26200,hours,"Extended early morning hours starting at 7:00 AM. Breakfast rush boosted weekly revenue by 25%. Outcome: positive"
2026-08-12,25800,hours,"Early 7:00 AM opening continued, high morning tea and bread demand. Outcome: positive"
2026-08-13,26500,hours,"Early morning crowd consistent, high margin grab-and-go sales. Outcome: positive"
2026-08-14,27100,hours,"7:00 AM morning commuter rush, record breakfast sales. Outcome: positive"
2026-08-15,28900,general,"Independence Day holiday sales"
2026-08-16,25400,dairy,"Sunday morning rush"
2026-08-17,19200,staples,"Ghee, mustard oil and flours"
2026-08-18,18700,snacks,"Namkeen and wafers"
2026-08-19,19100,beverages,"Fruit juices and squash"
2026-08-20,19800,personal_care,"Cleaning supplies and dishwash"
2026-08-21,20900,staples,"Dry fruits and sugar"
2026-08-22,22600,general,"Saturday grocery shoppers"
2026-08-23,23800,dairy,"Sunday milk and paneer"
2026-08-24,18100,snacks,"Evening biscuits and rusks"
2026-08-25,18700,staples,"Whole grains and lentils"
2026-08-26,19400,beverages,"Bottled water and soda crates"
2026-08-27,20100,personal_care,"Laundry detergents and soaps"
2026-08-28,21200,general,"Monthly inventory clearance"
2026-08-29,22900,dairy,"Saturday regular dairy sales"
2026-08-30,24500,general,"End of month grocery run"
2026-08-31,23800,staples,"Payday essential commodities"
2026-09-01,14200,inventory,"Diwali bulk inventory pre-orders overstocked. Excess dry fruit and sweet boxes unsold, severe spoilage and cash lockup. Outcome: negative"
2026-09-02,14800,inventory,"Festival overstock sitting idle on shelves, cash flow constrained. Outcome: negative"
2026-09-03,15100,inventory,"Had to discount expired perishable stock at loss. Outcome: negative"
2026-09-04,18200,dairy,"Back to daily fast-moving essentials"
2026-09-05,21400,staples,"Weekend rice and flour purchases"
2026-09-06,23600,snacks,"Sunday family treat snacks"
2026-09-07,17800,beverages,"Tea powder and ready mixes"
2026-09-08,18500,personal_care,"Home hygiene products"
2026-09-09,19200,staples,"Lentils and cooking spices"
2026-09-10,20100,dairy,"Daily fresh milk packets"
2026-09-11,21500,snacks,"Potato chips and roasted nuts"
2026-09-12,22800,general,"Saturday grocery peak"
2026-09-13,24200,dairy,"Sunday dairy and bakery goods"
2026-09-14,18000,beverages,"Packaged juices and soda"
2026-09-15,18900,staples,"Atta, maida and suji"
2026-09-16,19600,personal_care,"Hair oil and shampoo sachets"
2026-09-17,20400,general,"Local festive preparations"
2026-09-18,21800,snacks,"Namkeen and sweet boxes"
2026-09-19,23500,dairy,"Saturday festive sweets and milk"
2026-09-20,25100,general,"Sunday high footfall"
2026-09-21,19400,staples,"Post-festival pantry restock"
2026-09-22,20200,dairy,"Steady morning trade"
2026-09-23,19800,beverages,"Tea and milk drinks"
2026-09-24,20500,personal_care,"Soaps and detergent restock"
2026-09-25,21700,snacks,"Evening office crowd rush"
2026-09-26,23100,general,"Saturday neighbourhood purchases"
2026-09-27,24800,dairy,"Sunday full morning rush"
2026-09-28,19100,staples,"Weekly household grains"
